# wl (nm) 5 mu angles 
# mu= 0.0 0.5 0.7071067811865476 0.8660254037844386 1.0 
5.88900024e+02 0.00000000e+00 2.68972239e+07 3.07756727e+07 3.32715663e+07 3.51187704e+07
5.88902405e+02 0.00000000e+00 2.68967999e+07 3.07751774e+07 3.32710316e+07 3.51182092e+07
5.88904785e+02 0.00000000e+00 2.68963748e+07 3.07746809e+07 3.32704957e+07 3.51176469e+07
5.88907227e+02 0.00000000e+00 2.68959411e+07 3.07741742e+07 3.32699489e+07 3.51170730e+07
5.88909607e+02 0.00000000e+00 2.68955160e+07 3.07736777e+07 3.32694130e+07 3.51165107e+07
5.88912048e+02 0.00000000e+00 2.68950822e+07 3.07731710e+07 3.32688661e+07 3.51159369e+07
5.88914429e+02 0.00000000e+00 2.68946571e+07 3.07726745e+07 3.32683302e+07 3.51153745e+07
5.88916809e+02 0.00000000e+00 2.68942407e+07 3.07721881e+07 3.32678052e+07 3.51148237e+07
5.88919250e+02 0.00000000e+00 2.68938069e+07 3.07716815e+07 3.32672584e+07 3.51142498e+07
5.88921631e+02 0.00000000e+00 2.68933818e+07 3.07711849e+07 3.32667225e+07 3.51136875e+07
5.88924072e+02 0.00000000e+00 2.68929481e+07 3.07706783e+07 3.32661756e+07 3.51131137e+07
5.88926453e+02 0.00000000e+00 2.68925230e+07 3.07701817e+07 3.32656397e+07 3.51125513e+07
5.88928833e+02 0.00000000e+00 2.68921066e+07 3.07696954e+07 3.32651147e+07 3.51120005e+07
5.88931274e+02 0.00000000e+00 2.68916728e+07 3.07691887e+07 3.32645679e+07 3.51114266e+07
5.88933655e+02 0.00000000e+00 2.68912477e+07 3.07686922e+07 3.32640320e+07 3.51108643e+07
5.88936096e+02 0.00000000e+00 2.68908140e+07 3.07681855e+07 3.32634851e+07 3.51102905e+07
5.88938477e+02 0.00000000e+00 2.68903889e+07 3.07676890e+07 3.32629492e+07 3.51097281e+07
5.88940857e+02 0.00000000e+00 2.68899638e+07 3.07671925e+07 3.32624133e+07 3.51091658e+07
5.88943298e+02 0.00000000e+00 2.68895300e+07 3.07666858e+07 3.32618665e+07 3.51085920e+07
5.88945679e+02 0.00000000e+00 2.68891049e+07 3.07661893e+07 3.32613306e+07 3.51080296e+07
5.88948120e+02 0.00000000e+00 2.68886712e+07 3.07656826e+07 3.32607837e+07 3.51074558e+07
5.88950500e+02 0.00000000e+00 2.68882547e+07 3.07651962e+07 3.32602587e+07 3.51069049e+07
5.88952881e+02 0.00000000e+00 2.68878296e+07 3.07646997e+07 3.32597228e+07 3.51063426e+07
5.88955322e+02 0.00000000e+00 2.68873959e+07 3.07641931e+07 3.32591760e+07 3.51057688e+07
5.88957703e+02 0.00000000e+00 2.68869708e+07 3.07636965e+07 3.32586401e+07 3.51052064e+07
5.88960144e+02 0.00000000e+00 2.68865370e+07 3.07631899e+07 3.32580932e+07 3.51046326e+07
5.88962524e+02 0.00000000e+00 2.68861206e+07 3.07627035e+07 3.32575683e+07 3.51040817e+07
5.88964905e+02 0.00000000e+00 2.68856277e+07 3.07621331e+07 3.32569569e+07 3.51034437e+07
5.88967346e+02 0.00000000e+00 2.68848846e+07 3.07612898e+07 3.32560661e+07 3.51025247e+07
5.88969727e+02 0.00000000e+00 2.68841564e+07 3.07604633e+07 3.32551931e+07 3.51016241e+07
5.88972168e+02 0.00000000e+00 2.68834133e+07 3.07596200e+07 3.32543023e+07 3.51007051e+07
5.88974548e+02 0.00000000e+00 2.68826851e+07 3.07587935e+07 3.32534292e+07 3.50998044e+07
5.88976929e+02 0.00000000e+00 2.68819569e+07 3.07579670e+07 3.32525562e+07 3.50989038e+07
5.88979370e+02 0.00000000e+00 2.68812138e+07 3.07571236e+07 3.32516654e+07 3.50979848e+07
5.88981750e+02 0.00000000e+00 2.68805005e+07 3.07563140e+07 3.32508102e+07 3.50971026e+07
5.88984192e+02 0.00000000e+00 2.68797574e+07 3.07554707e+07 3.32499194e+07 3.50961836e+07
5.88986572e+02 0.00000000e+00 2.68790292e+07 3.07546442e+07 3.32490464e+07 3.50952830e+07
5.88988953e+02 0.00000000e+00 2.68783009e+07 3.07538177e+07 3.32481734e+07 3.50943823e+07
5.88991394e+02 0.00000000e+00 2.68775579e+07 3.07529743e+07 3.32472826e+07 3.50934633e+07
5.88993774e+02 0.00000000e+00 2.68768445e+07 3.07521647e+07 3.32464274e+07 3.50925811e+07
5.88996216e+02 0.00000000e+00 2.68761014e+07 3.07513214e+07 3.32455365e+07 3.50916621e+07
5.88998596e+02 0.00000000e+00 2.68753732e+07 3.07504949e+07 3.32446635e+07 3.50907615e+07
5.89000977e+02 0.00000000e+00 2.68746450e+07 3.07496684e+07 3.32437905e+07 3.50898609e+07
5.89003418e+02 0.00000000e+00 2.68739019e+07 3.07488250e+07 3.32428997e+07 3.50889419e+07
5.89005798e+02 0.00000000e+00 2.68731737e+07 3.07479986e+07 3.32420267e+07 3.50880412e+07
5.89008240e+02 0.00000000e+00 2.68724306e+07 3.07471552e+07 3.32411359e+07 3.50871222e+07
5.89010620e+02 0.00000000e+00 2.68717024e+07 3.07463287e+07 3.32402628e+07 3.50862216e+07
5.89013000e+02 0.00000000e+00 2.68709890e+07 3.07455191e+07 3.32394077e+07 3.50853394e+07
5.89015442e+02 0.00000000e+00 2.68702460e+07 3.07446757e+07 3.32385168e+07 3.50844204e+07
5.89017822e+02 0.00000000e+00 2.68695178e+07 3.07438493e+07 3.32376438e+07 3.50835198e+07
5.89020264e+02 0.00000000e+00 2.68687747e+07 3.07430059e+07 3.32367530e+07 3.50826008e+07
5.89022644e+02 0.00000000e+00 2.68680465e+07 3.07421794e+07 3.32358800e+07 3.50817001e+07
5.89025024e+02 0.00000000e+00 2.68673331e+07 3.07413698e+07 3.32350248e+07 3.50808179e+07
5.89027466e+02 0.00000000e+00 2.68665901e+07 3.07405265e+07 3.32341340e+07 3.50798990e+07
5.89029846e+02 0.00000000e+00 2.68655741e+07 3.07393866e+07 3.32329407e+07 3.50786768e+07
5.89032288e+02 0.00000000e+00 2.68639737e+07 3.07376095e+07 3.32310957e+07 3.50768001e+07
5.89034668e+02 0.00000000e+00 2.68624052e+07 3.07358679e+07 3.32292875e+07 3.50749609e+07
5.89037048e+02 0.00000000e+00 2.68608367e+07 3.07341263e+07 3.32274793e+07 3.50731217e+07
5.89039490e+02 0.00000000e+00 2.68592363e+07 3.07323492e+07 3.32256343e+07 3.50712449e+07
5.89041870e+02 0.00000000e+00 2.68576678e+07 3.07306076e+07 3.32238261e+07 3.50694057e+07
5.89044312e+02 0.00000000e+00 2.68560674e+07 3.07288305e+07 3.32219810e+07 3.50675289e+07
5.89046692e+02 0.00000000e+00 2.68545309e+07 3.07271245e+07 3.32202097e+07 3.50657272e+07
5.89049072e+02 0.00000000e+00 2.68529625e+07 3.07253829e+07 3.32184016e+07 3.50638880e+07
5.89051514e+02 0.00000000e+00 2.68513620e+07 3.07236057e+07 3.32165565e+07 3.50620113e+07
5.89053894e+02 0.00000000e+00 2.68497935e+07 3.07218642e+07 3.32147483e+07 3.50601720e+07
5.89056335e+02 0.00000000e+00 2.68481931e+07 3.07200870e+07 3.32129032e+07 3.50582953e+07
5.89058716e+02 0.00000000e+00 2.68466567e+07 3.07183810e+07 3.32111320e+07 3.50564936e+07
5.89061096e+02 0.00000000e+00 2.68450767e+07 3.07166269e+07 3.32093110e+07 3.50546415e+07
5.89063538e+02 0.00000000e+00 2.68412694e+07 3.07124435e+07 3.32050055e+07 3.50502942e+07
5.89065918e+02 0.00000000e+00 2.68372683e+07 3.07080496e+07 3.32004851e+07 3.50457317e+07
5.89068359e+02 0.00000000e+00 2.68331856e+07 3.07035659e+07 3.31958724e+07 3.50410761e+07
5.89070740e+02 0.00000000e+00 2.68291845e+07 3.06991719e+07 3.31913520e+07 3.50365136e+07
5.89073120e+02 0.00000000e+00 2.68251835e+07 3.06947779e+07 3.31868317e+07 3.50319511e+07
5.89075562e+02 0.00000000e+00 2.68211007e+07 3.06902942e+07 3.31822190e+07 3.50272954e+07
5.89077942e+02 0.00000000e+00 2.68171813e+07 3.06859899e+07 3.31777909e+07 3.50228260e+07
5.89080383e+02 0.00000000e+00 2.68130986e+07 3.06815063e+07 3.31731782e+07 3.50181704e+07
5.89082764e+02 0.00000000e+00 2.68090975e+07 3.06771123e+07 3.31686578e+07 3.50136079e+07
5.89085144e+02 0.00000000e+00 2.68050964e+07 3.06727183e+07 3.31641375e+07 3.50090454e+07
